precip6hrly,precipDaily
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.26
0,0.26
0,0.53
0,0.09
0,0.01
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.05
0,0
0,0.12
0,0.04
0,0
0,0
0,0
0,0
0,0
0,0
0,0.01
0,0
0,0
0,0
0,0
0,0
0,0.16
0,0.05
0,0.09
0,0
0,0.02
0,0
0,0.2
0,0.15
0,4.07
0,0
0,0
0,0
0,0.01
0,0
0,0
0,0
0,0.51
0,0.03
0,0.01
0,1.72
0,2.12
0,0.19
0,0.11
0,3.45
0,0.01
0,0.5
0,0.14
0,0
0,0.39
0,27.49
0,0.7
0,0.1
0,0.27
0,0
0,0.63
0,1.98
0,0.01
0,0.05
0,2.44
0,5.59
0,0.1
0,0
0,0.01
0,1.23
0,5.07
0,0.01
0,0.23
0,0.89
0,3.23
0,2.23
0,0
0,0
0,0.1
0,4.28
0,0
0,0.28
0,24.42
0,0.03
0,1.78
0,1.94
0,0.1
0,4.21
0,0.21
0,0.76
0,6.66
0,0.02
0,5.78
0,1.23
0,0.01
0,4.69
0,1.53
0,0.01
0,0
0,14.55
0,0.11
0,0.15
0,8.98
0,0.04
0,0.03
0,10.46
0,0.24
0,0.02
0,4.53
0,8.15
0,13.97
0,0.02
0,2.1
0,0
0,21.02
0,0.07
0,0.02
0,0
0,10.44
0,0.06
0,0.91
0,6.39
0,23.82
0,0.01
0,0.01
0,0
0,0.43
0,17.75
0,0.19
0,0.03
0,0
0,0.03
0,0.92
0,0.01
0,0
0,1.4
0,13.61
0,0.04
0,0.01
0,0
0,0.76
0,0
0,0
0,9.58
0,0.01
0,0.48
0,0.06
0,8.15
0,0.1
0,0.33
0,0.01
0,19.74
0,0.03
0,0.02
0,7.71
0,0.21
0,13.48
0,0.19
0,0.03
0,0
0,2.27
0,0.02
0,0
0,14.18
0,0.02
0,0
0,1.11
0,13.41
0,0.13
0,0.02
0,1.91
0,0.01
0,0.17
0,1.54
0,0.23
0,0.26
0,0.04
0,0
0,0.13
0,2.7
0,1.44
0,0.11
0,0
0,0
0,0.07
0,0
0,0.01
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.21,0
0,0
0,0
0.05,0
0.26,0
0,0
0,0
0,0
0.42,0
0,0
0,0
0.11,0
0.04,0
0,0
0,0
0.05,0
0.01,0
0,0
